Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C6, C7",0805,4,22pf,
"C10, C11, C3, C4, C5, C8, C9",0805,7,100nF,
"C12, C13",0805,2,1uF,
C14,CP_Radial_D4.0mm_P2.00mm,1,4.7uF,
C15,CP_Radial_D4.0mm_P2.00mm,1,100uF,
C16,0805,1,10nF,
"D1, D10, D11, D12, D2, D3, D4, D5, D6, D7, D8, D9",LED_D3.0mm_FlatTop,12,LED,
FB1,0805,1,10R,
IC1,SOIC127P600X175-8N,1,"TJA1050T_CM,118",
IC2,SOP65P640X120-20N,1,MCP2515T-I_ST,
"IC3, IC4",SOIC127P1030X265-28N,2,MCP23017-E_SO,
J1,PinSocket_2x03_P2.54mm_Vertical,1,ICP Header,
J2,PinSocket_1x03_P2.54mm_Vertical,1,Serial Mon,
J3,JST_EH_S4B-EH_1x04_P2.50mm_Horizontal,1,Output,
J4,JST_EH_S4B-EH_1x04_P2.50mm_Horizontal,1,Input,
"R1, R25",0603,2,10k,
"R10, R11, R12, R13, R14, R15, R4, R5, R6, R7, R8, R9",0603,12,330R,
"R16, R17, R18, R19, R2, R3, R35, R36, R39, R40, R41, R44, R45, R46",0603,14,4k7,
"R24, R53",0603,2,1k,
R28,1206,1,120R,
S1,SR1712F010820F0AN9N027,1,Waveform_0,
"S10, S11, S5, S6, S7, S8, S9",TL2285OA,7,TL2285OA,
S2,SR1712F010820F0AN9N027,1,Range_0,
S3,SR1712F010820F0AN9N027,1,Waveform_1,
U1,TQFP-32_7x7mm_P0.8mm,1,ATmega328P-A,
U2,SSOP-24_5.3x8.2mm_P0.65mm,1,CD74HC4067SM,
VR1,RK09K1130AAU,1,LFO1_Rate,
VR10,RK09K1130AAU,1,Frequency,
VR11,RK09K1130AAU,1,Resonance,
VR12,RK09K1130AAU,1,Env_Track,
VR13,RK09K1130AAU,1,Detune,
VR2,RK09K1130AAU,1,LFO1_Depth,
VR3,RK09K1130AAU,1,LFO2_Rate,
VR4,RK09K1130AAU,1,LFO2_Depth,
VR5,RK09K1130AAU,1,Mod_Level,
VR6,RK09K1130AAU,1,Attack,
VR7,RK09K1130AAU,1,Decay,
VR8,RK09K1130AAU,1,Sustain,
VR9,RK09K1130AAU,1,Release,
Y1,Crystal_HC49-4H_Vertical,1,8Mhz,
Y2,Crystal_HC49-4H_Vertical,1,16Mhz,
