Designator,Mid X,Mid Y,Rotation,Layer
C1,72.5,-67.9325,270.0,bottom
C10,137.4,-78.2,90.0,bottom
C11,96.75,-75.25,180.0,bottom
C12,109.25,-87.75,180.0,bottom
C13,109.25,-85.5,180.0,bottom
C14,90.027401,-72.75,0.0,top
C15,59.1,-79.4,0.0,top
C16,136.75,-70.9625,270.0,bottom
C2,67.5,-67.97,270.0,bottom
C3,100.5,-71.0,180.0,bottom
C4,69.2,-82.0,0.0,bottom
C5,80.0,-85.5,0.0,bottom
C6,105.0,-94.9625,270.0,bottom
C7,100.0,-94.9625,270.0,bottom
C8,156.6,-70.6,90.0,bottom
C9,191.945,-70.2875,90.0,bottom
D1,62.0,-39.0,180.0,top
D10,229.0,-113.0,180.0,top
D11,253.0,-113.0,180.0,top
D12,253.0,-118.0,180.0,top
D2,62.0,-89.0,180.0,top
D3,149.0,-93.0,180.0,top
D4,187.0,-108.0,180.0,top
D5,253.0,-47.0,180.0,top
D6,253.0,-53.0,180.0,top
D7,253.0,-59.0,180.0,top
D8,229.0,-103.0,180.0,top
D9,229.0,-108.0,180.0,top
FB1,59.8,-64.2,180.0,bottom
IC1,69.275,-78.145,0.0,bottom
IC2,80.062,-80.425,180.0,bottom
IC3,167.0,-76.0,90.0,bottom
IC4,202.545,-75.725,90.0,bottom
J1,90.23,-80.46,0.0,top
J2,122.25,-78.5,90.0,top
J3,54.8,-69.25,270.0,bottom
J4,54.8,-85.25,270.0,bottom
R1,85.0,-84.5875,90.0,bottom
R10,252.0,-62.2,180.0,bottom
R11,228.6,-105.25,0.0,bottom
R12,228.6,-110.5,0.0,bottom
R13,228.6,-115.4,0.0,bottom
R14,250.8,-115.4,180.0,bottom
R15,250.8,-120.4,180.0,bottom
R16,160.0,-103.25,270.0,bottom
R17,162.5,-103.25,270.0,bottom
R18,165.0,-103.25,270.0,bottom
R19,167.5,-103.3375,270.0,bottom
R2,154.5,-72.75,270.0,bottom
R24,94.0,-84.5125,90.0,bottom
R25,95.5,-84.5125,90.0,bottom
R28,58.2,-69.6,90.0,bottom
R3,154.5,-78.0,90.0,bottom
R35,115.2,-110.1125,270.0,bottom
R36,115.0,-60.0,270.0,bottom
R39,117.5,-60.0,270.0,bottom
R4,61.6,-42.2,0.0,bottom
R40,120.0,-60.0,270.0,bottom
R41,122.5,-60.0,270.0,bottom
R44,117.5,-110.0,270.0,bottom
R45,120.0,-110.0,270.0,bottom
R46,122.5,-110.0,270.0,bottom
R5,61.8,-85.8,0.0,bottom
R53,103.1,-73.4,180.0,bottom
R6,148.6,-90.6,0.0,bottom
R7,186.6,-111.2,0.0,bottom
R8,252.0875,-50.0,180.0,bottom
R9,252.0,-55.8,180.0,bottom
S1,120.0,-54.1,0.0,top
S10,259.75,-88.0,90.0,top
S11,259.75,-41.0,90.0,top
S2,165.0,-97.1,0.0,top
S3,120.0,-104.1,0.0,top
S5,70.25,-39.0,270.0,top
S6,70.25,-89.0,270.0,top
S7,149.25,-100.0,270.0,top
S8,194.75,-108.0,90.0,top
S9,220.75,-108.0,90.0,top
U1,102.25,-80.5,315.0,bottom
U2,142.925,-75.5,180.0,bottom
VR1,70.0,-55.83625,0.0,top
VR10,221.0,-88.83625,0.0,top
VR11,241.0,-88.83625,0.0,top
VR12,260.0,-104.83625,0.0,top
VR13,241.0,-55.83625,0.0,top
VR2,90.0,-55.83625,0.0,top
VR3,70.0,-105.83625,0.0,top
VR4,90.0,-105.83625,0.0,top
VR5,195.0,-93.83625,0.0,top
VR6,155.0,-55.83625,0.0,top
VR7,175.0,-55.83625,0.0,top
VR8,195.0,-55.83625,0.0,top
VR9,215.0,-55.83625,0.0,top
Y1,70.0,-71.75,0.0,top
Y2,102.44,-91.5,0.0,top
