Designator,Mid X,Mid Y,Rotation,Layer
C1,179.0125,-80.91875,180.0,top
C10,192.2125,-73.51875,0.0,top
C11,196.475,-66.71875,180.0,top
C12,196.4125,-72.31875,180.0,top
C13,185.2125,-75.51875,0.0,top
C14,192.25,-71.11875,0.0,top
C15,60.2,-75.6,90.0,top
C16,182.5,-80.25,180.0,top
C17,182.75,-78.25,180.0,top
C18,179.0,-71.91875,180.0,top
C19,178.75,-69.91875,180.0,top
C2,189.5125,-77.51875,270.0,top
C20,176.75,-33.7774,270.0,top
C21,173.25,-33.75,270.0,top
C22,177.75,-58.25,90.0,top
C23,108.0,-81.8875,270.0,top
C3,192.9125,-81.31875,270.0,top
C4,174.2125,-77.51875,180.0,top
C5,178.8125,-75.31875,180.0,top
C6,179.0125,-73.51875,180.0,top
C7,192.2125,-68.11875,0.0,top
C8,144.75,-33.7125,90.0,top
C9,172.0,-79.75,180.0,top
D1,194.5,-56.1,90.0,top
IC2,185.0745,-70.64375,180.0,top
IC3,178.5125,-78.26875,0.0,top
IC4,192.1625,-77.01875,90.0,top
J1,157.45,-32.835,0.0,top
J2,190.25,-40.75,0.0,top
J3,54.8,-69.25,270.0,bottom
J4,54.8,-85.25,270.0,bottom
J5,212.0,-41.55,0.0,top
R1,146.75,-73.25,0.0,bottom
R10,138.75,-40.25,180.0,bottom
R11,198.5,-57.75,90.0,top
R12,174.5,-58.25,90.0,top
R2,146.75,-75.75,0.0,bottom
R28,58.2,-69.4,90.0,top
R3,146.75,-78.25,0.0,bottom
R4,196.4125,-70.51875,180.0,top
R5,196.4125,-68.51875,180.0,top
R6,138.75,-50.5,180.0,bottom
R7,138.8375,-47.75,180.0,bottom
R8,138.75,-45.25,180.0,bottom
R9,138.75,-42.75,180.0,bottom
U1,129.025,-59.26,270.0,top
U2,101.44,-81.94,180.0,top
U3,184.94,-55.75,180.0,top
