Designator,Mid X,Mid Y,Rotation,Layer
C1,72.5,-70.7125,270.0,bottom
C10,137.4,-78.2,90.0,bottom
C11,96.75,-75.25,180.0,bottom
C12,109.25,-87.75,180.0,bottom
C13,109.25,-85.5,180.0,bottom
C14,90.027401,-72.75,0.0,top
C15,57.0,-77.25,0.0,top
C16,136.75,-70.9625,270.0,bottom
C2,67.5,-70.75,270.0,bottom
C3,100.5,-71.0,180.0,bottom
C4,70.0,-85.5,0.0,bottom
C5,80.0,-85.5,0.0,bottom
C6,105.0,-94.9625,270.0,bottom
C7,100.0,-94.9625,270.0,bottom
C8,156.6,-70.6,90.0,bottom
C9,221.4,-70.5625,90.0,bottom
D1,83.0,-66.0,180.0,top
D10,252.0,-58.0,180.0,top
D11,83.0,-116.0,180.0,top
D12,83.0,-121.0,180.0,top
D13,187.0,-91.0,180.0,top
D14,207.0,-91.0,180.0,top
D15,186.0,-116.0,180.0,top
D16,186.0,-121.0,180.0,top
D17,206.0,-116.0,180.0,top
D18,206.0,-121.0,180.0,top
D19,252.0,-98.0,180.0,top
D2,83.0,-71.0,180.0,top
D20,252.0,-108.0,180.0,top
D21,252.0,-36.0,180.0,top
D22,252.0,-86.0,180.0,top
D3,187.0,-41.0,180.0,top
D4,207.0,-41.0,180.0,top
D5,186.0,-66.0,180.0,top
D6,186.0,-71.0,180.0,top
D7,206.0,-66.0,180.0,top
D8,206.0,-71.0,180.0,top
D9,252.0,-48.0,180.0,top
FB1,62.6,-88.4,270.0,bottom
IC1,69.275,-81.345,0.0,bottom
IC2,80.062,-80.425,180.0,bottom
IC3,167.0,-76.0,90.0,bottom
IC4,232.0,-76.0,90.0,bottom
J1,89.42,-79.415,0.0,top
J2,122.25,-78.5,90.0,top
J3,54.8,-85.15,270.0,bottom
J4,54.8,-69.25,270.0,bottom
R1,85.0,-83.8,90.0,bottom
R10,205.0,-68.0,180.0,bottom
R11,205.0,-73.2,180.0,bottom
R12,251.0875,-51.0,0.0,bottom
R13,251.4,-61.1,0.0,bottom
R14,88.0,-118.0,0.0,bottom
R15,84.0,-124.0,0.0,bottom
R16,185.75,-87.75,180.0,bottom
R17,206.0,-94.0,180.0,bottom
R18,185.0,-118.2,180.0,bottom
R19,185.2,-123.4,180.0,bottom
R2,154.5,-72.75,270.0,bottom
R20,205.0,-118.0,180.0,bottom
R21,205.0,-123.0,180.0,bottom
R22,251.0,-95.0,180.0,bottom
R23,251.0,-105.0,180.0,bottom
R24,94.0,-84.5125,90.0,bottom
R25,95.5,-84.5125,90.0,bottom
R26,251.1875,-39.0,0.0,bottom
R27,250.8,-82.8,180.0,bottom
R28,59.0,-69.2,90.0,top
R29,96.5,-73.0,180.0,bottom
R3,154.5,-78.0,90.0,bottom
R30,96.5,-71.0,0.0,bottom
R31,50.2125,-99.03,90.0,bottom
R32,50.2125,-95.5,90.0,bottom
R33,48.05,-99.0,90.0,bottom
R34,48.05,-95.5,90.0,bottom
R35,117.5,-98.0,90.0,bottom
R36,117.5,-48.0,90.0,bottom
R37,115.0,-48.0875,90.0,bottom
R38,115.0,-60.0,270.0,bottom
R39,117.5,-60.0,270.0,bottom
R4,78.9125,-68.0,180.0,bottom
R40,120.0,-60.0,270.0,bottom
R41,122.5,-60.0,270.0,bottom
R42,115.0,-98.0,90.0,bottom
R43,115.0,-110.0,270.0,bottom
R44,117.5,-110.0,270.0,bottom
R45,120.0,-110.0,270.0,bottom
R46,122.5,-110.0,270.0,bottom
R47,67.5,-60.0,270.0,bottom
R48,67.5,-110.0,270.0,bottom
R49,70.0,-110.0,270.0,bottom
R5,82.0,-74.0,180.0,bottom
R50,72.5,-110.0,270.0,bottom
R51,70.0,-60.0,270.0,bottom
R52,72.5,-60.0,270.0,bottom
R53,103.1,-73.4,180.0,bottom
R6,186.0,-44.0,180.0,bottom
R7,206.0,-44.0,180.0,bottom
R8,185.0,-69.0,180.0,bottom
R9,185.0875,-73.2,180.0,bottom
S1,120.0,-54.1,0.0,top
S10,259.75,-36.0,90.0,top
S11,86.0,-89.25,180.0,top
S12,194.75,-91.0,90.0,top
S13,214.75,-91.0,90.0,top
S14,259.75,-98.0,90.0,top
S15,259.75,-108.0,90.0,top
S16,259.75,-86.0,90.0,top
S2,70.0,-54.1,0.0,top
S3,120.0,-104.1,0.0,top
S4,70.0,-104.1,0.0,top
S5,86.25,-39.0,270.0,top
S6,195.25,-41.0,270.0,top
S7,215.25,-41.0,270.0,top
S8,259.75,-48.0,90.0,top
S9,259.75,-58.0,90.0,top
U1,102.25,-80.5,315.0,bottom
U2,142.925,-75.5,180.0,bottom
VR1,90.0,-55.83625,0.0,top
VR10,195.0,-107.83625,0.0,top
VR11,215.0,-107.83625,0.0,top
VR12,240.0,-105.83625,0.0,top
VR2,150.0,-55.83625,0.0,top
VR3,170.0,-55.83625,0.0,top
VR4,195.0,-57.83625,0.0,top
VR5,215.0,-57.83625,0.0,top
VR6,240.0,-55.83625,0.0,top
VR7,90.0,-105.83625,0.0,top
VR8,150.0,-105.83625,0.0,top
VR9,170.0,-105.83625,0.0,top
Y1,70.0,-74.25,0.0,top
Y2,102.44,-91.5,0.0,top
