Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C6, C7",0805,4,22pf,
"C10, C11, C16, C3, C4, C5, C8, C9",0805,8,100nF,
"C12, C13",0805,2,1uF,
C14,CP_Radial_D4.0mm_P2.00mm,1,4.7uF,
C15,CP_Radial_D4.0mm_P2.00mm,1,100uF,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D59, D6, D7, D8, D9",LED_D3.0mm_FlatTop,59,LED,
DS1,DIPS762W50P254L1502H635Q10N,1,LTD-2701JD,
DS2,DIPS762W45P254L2253H610Q12N,1,LDT-N2804RI,
IC1,SOIC127P600X175-8N,1,"TJA1050T_CM,118",
IC2,SOP65P640X120-20N,1,MCP2515T-I_ST,
"IC3, IC4",SOIC127P1030X265-28N,2,MCP23017-E_SO,
J1,PinSocket_2x03_P2.54mm_Vertical,1,ICP Header,
J2,PinHeader_1x04_P2.54mm_Vertical,1,Diagnostic,
J3,JST_EH_S4B-EH_1x04_P2.50mm_Horizontal,1,Output,
J4,JST_EH_S4B-EH_1x04_P2.50mm_Horizontal,1,Input,
"R1, R25",0603,2,10k,
"R10, R11, R12, R13, R18, R4, R5, R6, R7, R8, R9",0603,11,330R,
"R14, R15",0805,2,10k,
"R16, R17",0805,2,4k7,
"R2, R3",0805,2,22k,
R24,0603,1,1k,
R28,1206,1,120R,
"S1, S10, S11, S12, S13, S14, S15, S16, S17, S18, S19, S2, S3, S4, S5, S6, S7, S8, S9",TL2285OA,19,TL2285OA,
SW1,RotaryEncoder_Alps_EC12E_Vertical_H20mm,1,RotaryEncoder,
U1,TQFP-32_7x7mm_P0.8mm,1,ATmega328P-A,
"U2, U3",SOIC-24W_7.5x15.4mm_P1.27mm,2,MAX7219,
Y1,Crystal_HC49-4H_Vertical,1,8Mhz,
Y2,Crystal_HC49-4H_Vertical,1,16Mhz,
