Designator,Mid X,Mid Y,Rotation,Layer
C1,106.738,-82.125,270.0,bottom
C10,68.6,-66.6,90.0,top
C11,130.773623,-92.066377,135.0,bottom
C12,143.04,-103.2,135.0,bottom
C13,132.373623,-93.666377,135.0,bottom
C14,127.8,-91.472599,90.0,top
C15,59.0,-61.1,0.0,top
C16,152.6375,-65.8,180.0,top
C2,101.938,-82.0875,270.0,bottom
C3,144.533623,-104.666377,135.0,bottom
C4,95.8,-96.475,0.0,bottom
C5,106.662,-96.875,0.0,bottom
C6,139.9,-103.0,90.0,top
C7,135.0,-102.9625,90.0,top
C8,107.4,-66.7625,270.0,bottom
C9,160.6,-111.8,90.0,bottom
D1,168.03,-43.0,0.0,top
D10,188.03,-55.0,0.0,top
D11,200.03,-55.0,0.0,top
D12,212.03,-55.0,0.0,top
D13,224.03,-55.0,0.0,top
D14,236.03,-55.0,0.0,top
D15,248.03,-55.0,0.0,top
D16,260.03,-55.0,0.0,top
D17,168.03,-67.0,0.0,top
D18,188.03,-67.0,0.0,top
D19,200.03,-67.0,0.0,top
D2,188.03,-43.0,0.0,top
D20,212.03,-67.0,0.0,top
D21,224.03,-67.0,0.0,top
D22,236.03,-67.0,0.0,top
D23,248.03,-67.0,0.0,top
D24,260.03,-67.0,0.0,top
D25,168.03,-79.0,0.0,top
D26,188.03,-79.0,0.0,top
D27,200.03,-79.0,0.0,top
D28,212.03,-79.0,0.0,top
D29,224.03,-79.0,0.0,top
D3,200.03,-43.0,0.0,top
D30,236.03,-79.0,0.0,top
D31,248.03,-79.0,0.0,top
D32,260.03,-79.0,0.0,top
D33,168.03,-91.0,0.0,top
D34,188.03,-91.0,0.0,top
D35,200.03,-91.0,0.0,top
D36,212.03,-91.0,0.0,top
D37,224.03,-91.0,0.0,top
D38,236.03,-91.0,0.0,top
D39,248.03,-91.0,0.0,top
D4,212.03,-43.0,0.0,top
D40,260.03,-91.0,0.0,top
D41,168.03,-103.0,0.0,top
D42,188.03,-103.0,0.0,top
D43,200.03,-103.0,0.0,top
D44,212.03,-103.0,0.0,top
D45,224.03,-103.0,0.0,top
D46,236.03,-103.0,0.0,top
D47,248.03,-103.0,0.0,top
D48,260.03,-103.0,0.0,top
D49,64.03,-55.0,0.0,top
D5,224.03,-43.0,0.0,top
D50,64.03,-61.0,0.0,top
D51,64.03,-67.0,0.0,top
D52,64.03,-73.0,0.0,top
D53,64.03,-79.0,0.0,top
D54,126.03,-55.0,0.0,top
D55,126.03,-61.0,0.0,top
D56,126.03,-67.0,0.0,top
D57,126.03,-73.0,0.0,top
D58,126.03,-79.0,0.0,top
D59,64.0,-85.0,0.0,top
D6,236.03,-43.0,0.0,top
D7,248.03,-43.0,0.0,top
D8,260.03,-43.0,0.0,top
D9,168.03,-55.0,0.0,top
DS1,82.93,-106.19,90.0,top
DS2,94.95,-48.19,90.0,top
IC1,94.737,-92.57,0.0,bottom
IC2,104.6,-92.2,180.0,bottom
IC3,115.125,-61.945,0.0,bottom
IC4,171.2,-115.8,90.0,bottom
J1,121.47,-93.06,180.0,top
J2,148.2,-98.69,0.0,top
J3,54.8,-69.25,270.0,bottom
J4,54.8,-85.25,270.0,bottom
R1,110.738,-95.6125,90.0,bottom
R10,126.8,-64.0,0.0,top
R11,126.8,-70.0,0.0,top
R12,126.8,-76.0,0.0,top
R13,126.8,-82.0,0.0,top
R14,97.4,-66.6,270.0,bottom
R15,92.4,-66.6,270.0,bottom
R16,163.8,-124.0,90.0,bottom
R17,166.0,-124.0,90.0,bottom
R18,64.8,-88.0,0.0,bottom
R2,84.6,-62.6,180.0,top
R24,125.4,-90.5125,90.0,bottom
R25,112.938,-95.6125,90.0,bottom
R28,58.2,-69.6,90.0,bottom
R3,169.0,-74.4,0.0,top
R4,64.8,-58.0,0.0,bottom
R5,64.8,-64.0,0.0,bottom
R6,64.8,-70.0,0.0,bottom
R7,64.8,-76.0,0.0,bottom
R8,64.8,-82.0,0.0,bottom
R9,126.8,-58.0,0.0,top
S1,188.0,-114.75,0.0,top
S10,176.0,-66.75,0.0,top
S11,176.0,-78.75,0.0,top
S12,176.0,-90.75,0.0,top
S13,176.0,-102.75,0.0,top
S14,64.0,-43.0,0.0,top
S15,126.0,-43.0,0.0,top
S16,70.0,-105.75,0.0,top
S17,96.0,-105.75,0.0,top
S18,116.0,-106.0,0.0,top
S19,116.0,-117.75,0.0,top
S2,200.0,-114.75,0.0,top
S3,212.0,-114.75,0.0,top
S4,224.0,-114.75,0.0,top
S5,236.0,-114.75,0.0,top
S6,248.0,-114.75,0.0,top
S7,260.0,-114.75,0.0,top
S8,176.0,-42.75,0.0,top
S9,176.0,-54.75,0.0,top
SW1,95.0,-66.5,90.0,top
U1,137.84,-98.2,315.0,bottom
U2,76.2,-62.4,270.0,top
U3,156.6,-75.4,270.0,top
Y1,104.298,-85.525,0.0,top
Y2,137.4,-107.8,0.0,top
